file,source_type,pages_count,text_chars,references_count,style,dominant_bucket,foot_intext_total,foot_success_occurrences,foot_bib_unique_total,foot_missing_intext_expected_total,foot_missing_footnotes_for_seen_total,foot_uncited_footnote_total,tex_intext_total,tex_success_occurrences,tex_bib_unique_total,numeric_intext_total,numeric_success_occurrences,numeric_bib_unique_total,author_year_intext_total,author_year_success_occurrences,author_year_bib_unique_total
python_backend_legacy/dataset/7316dfefe11e9019fd0c71c9d41879981fb7c9b708735fc876825eed09a8c3bc.json,raw_json,14,46154,0,hybrid,tex,5,0,0,11,5,0,0,0,0,5,0,0,8,0,0
python_backend_legacy/dataset/731d57beb697a8ce43e29678f36db8ad029df225fcaa07c95c38ff93e51c31f0.json,raw_json,35,92608,0,hybrid,tex,0,0,0,0,0,0,13,0,0,9,0,0,0,0,0
python_backend_legacy/dataset/73a35f85eab928b56f395d380950f8834eed94c0459c4e1effc13f272f43f652.json,raw_json,28,63419,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,37,37,135
python_backend_legacy/dataset/73ba8c65231d048e9b0fde3591c6d02dffba286233b8c46dbfbffc9842fc73e4.json,raw_json,12,28018,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,17,17,76
python_backend_legacy/dataset/74b31d535d696bcc78cc3bd172246c0dbd4427c62b4a242214d037495c10f9c2.json,raw_json,53,146217,0,tex_superscript,tex,7,0,0,52,7,0,0,0,0,22,0,0,4,0,0
python_backend_legacy/dataset/74d9734b89733fb9004b6f8c75e07a421b9ee7cf3ffe55756a408b75d616c9e3.json,raw_json,16,35491,0,hybrid,tex,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0
python_backend_legacy/dataset/75429fcc3816234066bf22b0c973d3f954057bd91dea79ad6d2d991ea7277038.json,raw_json,15,34060,0,hybrid,tex,0,0,0,0,0,0,5,0,0,2,0,0,8,0,0
python_backend_legacy/dataset/755b0a255532dbc19cf509cff599159d8d95f58f2f0cd8d2e2b3bbd80659349d.json,raw_json,29,48910,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,106,101,83
python_backend_legacy/dataset/7569544a09fde6869abc6ab3fd8ffce6ced5dbbdf7b36f1082234ad987a78dea.json,raw_json,29,93766,0,numeric,numeric,0,0,0,0,0,0,0,0,0,24,0,0,8,0,0
python_backend_legacy/dataset/75704b3a85720544a05e06d337d65718a663559bd8171976d21c145dd76b3f1c.json,raw_json,56,147578,0,numeric,numeric,0,0,0,0,0,0,0,0,0,32,0,0,13,0,0
python_backend_legacy/dataset/75d45de5b99f45bc76f7430809ada48b9c4bea205edd40f5b882bb80f7199d87.json,raw_json,23,53787,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,99,99,137
python_backend_legacy/dataset/77c985cb648fe073b0c4b744c3d0469d8a3edf059e5923cdf2c404506f1925d6.json,raw_json,18,40838,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,1,1,140
python_backend_legacy/dataset/7867500c466518a17627b3f82971f0977dfc2eb4dca9575d71d3fa8eb2946983.json,raw_json,29,141572,0,numeric,numeric,0,0,0,0,0,0,0,0,0,259,0,0,10,0,0
python_backend_legacy/dataset/788bed3996a36aab709739eb899337beaf04b69fdda7971e5d0e84ab464adec5.json,raw_json,8,34287,1,tex_superscript,tex,11,0,0,27,11,0,0,0,0,16,0,7,0,0,103
python_backend_legacy/dataset/796db0b3d002c0042b2507a5d7943b9daa8f921c6d820af03f4013cf9634ae00.json,raw_json,31,71083,1,numeric,numeric,4,0,0,95,4,0,0,0,0,15,0,7,1,1,269
python_backend_legacy/dataset/7a01369a93531445d610cbd85239213cbc24cf51a0155811ff023677f53906d3.json,raw_json,19,60531,0,numeric,numeric,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0
python_backend_legacy/dataset/7a4bb1e2c380ef0f1bdf61a6e76cfc6de2a79d5666d0f8fe18ecfafd261af53b.json,raw_json,25,65264,1,tex_superscript,tex,6,0,0,27,5,0,0,0,0,49,0,0,1,1,146
python_backend_legacy/dataset/7b86b6031c0bd6efcd234fd19a495d5797ca0c062fcbb0b72eef8190204ff88f.json,raw_json,18,54730,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,25,24,48
python_backend_legacy/dataset/7c14f12170f62da61c5b76133ec3a6baa3baec9b93e3747e236dc46b244d32c3.json,raw_json,23,63447,0,numeric,numeric,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
python_backend_legacy/dataset/7cbc609bf42369422f9d9a47e5e4ef6140c4084f1c6f627db87bbbe669cd0e98.json,raw_json,20,57807,0,tex_superscript,tex,6,0,0,584,6,0,0,0,0,38,0,0,1,0,0
python_backend_legacy/dataset/7d191071f5a3c2f152ccca1911b038b438a08ef76d566aac4680155298236aa9.json,raw_json,20,41980,1,hybrid,tex,2,0,0,13,2,0,0,0,0,9,0,1,1,1,81
