file,source_type,pages_count,text_chars,references_count,baseline_style,baseline_dominant_bucket,current_style,current_dominant_bucket,base_dom_intext_total,base_dom_success_occurrences,base_dom_bib_unique_total,base_dom_success_percentage,cur_dom_intext_total,cur_dom_success_occurrences,cur_dom_bib_unique_total,cur_dom_success_percentage,delta_dom_intext_total,delta_dom_success_occurrences,delta_dom_bib_unique_total,delta_dom_success_percentage,base_foot_intext_total,base_foot_success_occurrences,base_foot_bib_unique_total,cur_foot_intext_total,cur_foot_success_occurrences,cur_foot_bib_unique_total,delta_foot_success_occurrences,delta_foot_success_percentage,base_tex_intext_total,base_tex_success_occurrences,base_tex_bib_unique_total,cur_tex_intext_total,cur_tex_success_occurrences,cur_tex_bib_unique_total,delta_tex_success_occurrences,delta_tex_success_percentage,base_numeric_intext_total,base_numeric_success_occurrences,base_numeric_bib_unique_total,cur_numeric_intext_total,cur_numeric_success_occurrences,cur_numeric_bib_unique_total,delta_numeric_success_occurrences,delta_numeric_success_percentage,base_author_year_intext_total,base_author_year_success_occurrences,base_author_year_bib_unique_total,cur_author_year_intext_total,cur_author_year_success_occurrences,cur_author_year_bib_unique_total,delta_author_year_success_occurrences,delta_author_year_success_percentage,error
python_backend_legacy/dataset/5720d159199a337b74557d328643159eed3419d64e710ee50cf52cf8b5e1c327.json,raw_json,43,112673,0,superscript,tex,superscript,tex,349,349,175,100,349,349,175,100,0,0,0,0,0,0,0,263,0,0,0,0,349,349,175,349,349,175,0,0,0,0,0,0,0,0,0,0,2,0,76,2,0,76,0,0,
python_backend_legacy/dataset/573299ce02f6821fc4c661fa4cf4338359deab622d75e30d0766ea7b82d6617e.json,raw_json,10,29561,1,author_year,author_year,author_year,author_year,19,19,74,100,19,19,74,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,74,19,19,74,0,0,
python_backend_legacy/dataset/57741a27afa4cdeee1e914853427694554f64539efe86420d227522f395d8a37.json,raw_json,29,38788,0,superscript,tex,superscript,tex,66,66,36,100,66,66,36,100,0,0,0,0,2,0,0,55,0,0,0,0,66,66,36,66,66,36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/57fc9fd03dcf6ee4bcc0a300d8937bf7c7d3713c22d95a44e569027af42cb983.json,raw_json,15,70610,0,superscript,tex,superscript,tex,122,122,69,100,122,122,69,100,0,0,0,0,0,0,0,92,0,0,0,0,122,122,69,122,122,69,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,
python_backend_legacy/dataset/5864af5a2c0e53d4bd30b6acbbf71b32d5e7d7fe4ee1a3f69ed77ff104460e2b.json,raw_json,20,55384,1,author_year,author_year,author_year,author_year,25,25,77,100,25,25,77,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,77,25,25,77,0,0,
python_backend_legacy/dataset/59982faf99e39b2893bd40f0e43de8a7c8e1815b3d42bef08211556ea07243a0.json,raw_json,32,90199,0,superscript,tex,superscript,tex,135,135,133,100,135,135,133,100,0,0,0,0,2,0,0,106,0,0,0,0,135,135,133,135,135,133,0,0,19,0,0,19,0,0,0,0,0,0,117,0,0,117,0,0,
python_backend_legacy/dataset/59c83a90a0628557791a68acd853039302b742cb7985175ef3d8bea9da401faa.json,raw_json,18,45429,1,author_year,author_year,author_year,author_year,23,23,50,100,23,23,50,100,0,0,0,0,2,0,0,7,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,23,23,50,23,23,50,0,0,
python_backend_legacy/dataset/5ae3d07f3cd826479d1156dbfacb355a84def0d978d6853cd8760d535494e60c.json,raw_json,9,46522,1,author_year,author_year,author_year,author_year,0,0,46,0,0,0,46,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,0,15,0,0,0,0,15,0,0,15,0,0,0,0,46,0,0,46,0,0,
python_backend_legacy/dataset/5b9b739285eabf70b54668c50ca5104f9112457ba9763d2ab260a373b1e83de9.json,raw_json,19,81310,0,superscript,tex,superscript,tex,180,180,92,100,180,180,92,100,0,0,0,0,2,0,0,122,0,0,0,0,180,180,92,180,180,92,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/5be87f5ef5b5099687a4c8bce3416812bf0f6fe4cbe7460ed7c6b5736901e955.json,raw_json,19,45276,1,author_year,author_year,author_year,author_year,32,32,117,100,32,32,117,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,117,32,32,117,0,0,
python_backend_legacy/dataset/5d08484af79cff97338e4e5b593803b2903c9d00a36da91ab754ffd97bee4a3b.json,raw_json,19,40325,1,numeric,numeric,numeric,numeric,4,4,70,100,4,4,70,100,0,0,0,0,0,0,0,0,0,0,0,0,4,4,70,4,4,70,0,0,4,4,70,4,4,70,0,0,0,0,106,0,0,106,0,0,
python_backend_legacy/dataset/5d44d6e0389d69fbb85ce5515d1c60c207df42b71e9a8308b94ea0054d2aa82e.json,raw_json,37,87399,0,tex_superscript,tex,tex_superscript,tex,50,50,170,100,50,50,170,100,0,0,0,0,50,50,170,59,59,170,9,0,50,50,170,50,50,170,0,0,7,7,170,7,7,170,0,0,0,0,142,0,0,142,0,0,
python_backend_legacy/dataset/5d7d0ceb0a46a253470802dc59ef6f065c28b46f362f40ad57fa23f64a1912b6.json,raw_json,21,54195,0,superscript,tex,superscript,tex,57,57,67,100,57,57,67,100,0,0,0,0,0,0,0,42,0,0,0,0,57,57,67,57,57,67,0,0,13,0,0,13,0,0,0,0,0,0,41,0,0,41,0,0,
python_backend_legacy/dataset/5d981ba16a79ee87ebf70ed75c7915a7cbf0db19f74165b259e7e69f35e707de.json,raw_json,14,42371,0,numeric,numeric,numeric,numeric,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/5da20ca57b6a3bbce1f7df94e2cd2c14057b06a0f48da180baf254a5995fa7be.json,raw_json,21,74196,1,superscript,tex,superscript,tex,48,48,31,100,48,48,31,100,0,0,0,0,0,0,0,33,0,0,0,0,48,48,31,48,48,31,0,0,10,0,0,10,0,0,0,0,74,74,136,74,74,136,0,0,
python_backend_legacy/dataset/5da6abb75146bf939866d86fd880ba060711b853e74ca4c098ca28027de07da5.json,raw_json,13,31509,0,superscript,tex,superscript,tex,36,36,35,100,36,36,35,100,0,0,0,0,0,0,0,34,0,0,0,0,36,36,35,36,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
python_backend_legacy/dataset/5e2725aa916cd10f1bf1137482ebcb695067e117b79def9ceb533cf8896888ba.json,raw_json,19,63458,1,author_year,author_year,author_year,author_year,1,1,75,100,1,1,75,100,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,11,0,0,0,0,11,0,0,11,0,0,0,0,1,1,75,1,1,75,0,0,
python_backend_legacy/dataset/5f3b3aecada79d8b9d9af7ea49434eca7c935a6cc138f3f4639f8d34a312b8a0.json,raw_json,23,49774,1,author_year,author_year,author_year,author_year,47,47,129,100,47,47,129,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,129,47,47,129,0,0,
python_backend_legacy/dataset/5f7d401c8c93c3deeed929b501b159c94179557a893082654b1c247193f10892.json,raw_json,17,55285,0,hybrid,tex,hybrid,tex,23,23,49,100,23,23,49,100,0,0,0,0,6,6,49,6,6,49,0,0,23,23,49,23,23,49,0,0,3,3,49,3,3,49,0,0,0,0,137,0,0,137,0,0,
python_backend_legacy/dataset/5f92ab5a6779c7b7578c1c5662a70f4746253e2364a73804c9de432d92665955.json,raw_json,9,30347,1,author_year,author_year,author_year,author_year,0,0,109,0,0,0,109,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,32,0,0,0,0,32,0,0,32,0,0,0,0,109,0,0,109,0,0,
